Time,S1_D1_Red,S2_D2_Red,S3_D3_Red,S4_D4_Red,S5_D5_Red,S6_D6_Red,S7_D7_Red,S8_D8_Red,S1_D1_Ir,S2_D2_Ir,S3_D3_Ir,S4_D4_Ir,S5_D5_Ir,S6_D6_Ir,S7_D7_Ir,S8_D8_Ir
0.0,0.17611185709635416,0.11316935221354167,0.09473164876302083,0.1678466796875,332.6867421468099,391.1590576171875,455.6128184000651,241.0558064778646,0.012079874674479166,0.4107157389322917,0.0514984130859375,0.179290771484375,218.56371561686197,254.00606791178384,300.5027770996094,164.43824768066406
1.0,0.054677327473958336,0.19772847493489584,0.10808308919270833,0.080108642578125,124.3273417154948,143.72698465983072,185.3491465250651,115.34436543782552,0.0896453857421875,0.0896453857421875,0.08900960286458333,0.042597452799479164,82.36757914225261,93.55672200520833,127.09744771321614,77.35315958658855
2.0,0.0171661376953125,0.20662943522135416,0.1468658447265625,0.0171661376953125,52.28996276855469,66.31151835123698,91.74919128417969,58.30510457356771,0.055948893229166664,0.044504801432291664,0.12143452962239583,0.012715657552083334,34.75252787272135,49.5764414469401,63.50008646647135,38.515726725260414
3.0,0.1068115234375,0.07692972819010417,0.06103515625,0.1010894775390625,33.43900044759115,50.465901692708336,53.04527282714844,27.36663818359375,0.0934600830078125,0.22188822428385416,0.16148885091145834,0.048955281575520836,28.214136759440105,39.52344258626302,37.21300760904948,19.52362060546875
4.0,0.06357828776041667,0.3827412923177083,0.029246012369791668,0.034332275390625,36.09530131022135,42.44677225748698,33.97178649902344,29.35028076171875,0.1621246337890625,0.2587636311848958,0.00762939453125,0.034332275390625,30.968983968098957,31.096140543619793,23.12787373860677,27.802785237630207
5.0,0.06357828776041667,0.06993611653645833,0.0591278076171875,0.2981821695963542,36.00756327311198,32.25135803222656,29.055277506510418,41.88410441080729,0.12969970703125,0.033696492513020836,0.11952718098958333,0.12906392415364584,26.967366536458332,22.48700459798177,25.666554768880207,35.106658935546875
6.0,0.1087188720703125,0.09600321451822917,0.034332275390625,0.09600321451822917,29.963175455729168,26.908238728841145,40.46758015950521,40.79437255859375,0.0400543212890625,0.255584716796875,0.4119873046875,0.057856241861979164,22.470474243164062,21.718978881835938,33.893585205078125,29.470443725585938
7.0,0.0514984130859375,0.17229715983072916,0.18755594889322916,0.2644856770833333,23.836771647135418,36.6522471110026,41.071573893229164,28.717041015625,0.044504801432291664,0.031789143880208336,0.008900960286458334,0.043233235677083336,19.563674926757812,32.52855936686198,30.005772908528645,18.1121826171875
8.0,0.095367431640625,0.046412150065104164,0.1010894775390625,0.072479248046875,30.145645141601562,40.646870930989586,32.857259114583336,21.772384643554688,0.0591278076171875,0.19200642903645834,0.1926422119140625,0.046412150065104164,28.184254964192707,30.65935770670573,23.687998453776043,18.712361653645832
9.0,0.00762939453125,0.21235148111979166,0.034968058268229164,0.10236104329427083,35.79139709472656,34.88922119140625,24.957656860351562,36.24725341796875,0.11507670084635417,0.1468658447265625,0.0095367431640625,0.171661376953125,28.28216552734375,24.723052978515625,20.341873168945312,34.26361083984375
