,Time,S1_D1_Red,S2_D2_Red,S3_D3_Red,S4_D4_Red,S5_D5_Red,S6_D6_Red,S7_D7_Red,S8_D8_Red,S1_D1_Ir,S2_D2_Ir,S3_D3_Ir,S4_D4_Ir,S5_D5_Ir,S6_D6_Ir,S7_D7_Ir,S8_D8_Ir
0,0.0,0.0006357828776041666,0.0006357828776041666,0.17038981119791666,0.1220703125,370.34352620442706,393.3340708414714,456.631342569987,247.70673116048178,160.69157918294272,0.0006357828776041666,0.0006357828776041666,0.0476837158203125,0.006357828776041667,235.91995239257812,256.56763712565106,309.5499674479167
1,1.0,0.09218851725260417,0.14241536458333334,0.026067097981770832,0.06739298502604167,131.56000773111978,155.08397420247397,195.55981953938803,100.61264038085938,59.76549784342448,0.3789265950520833,0.006993611653645833,0.10935465494791667,0.2606709798177083,86.92232767740886,108.45629374186198,134.4432830810547
2,2.0,0.19582112630208334,0.010808308919270834,0.052769978841145836,0.0324249267578125,59.62498982747396,80.54606119791667,87.30252583821614,46.923319498697914,35.97195943196615,0.008900960286458334,0.1506805419921875,0.2193450927734375,0.010172526041666666,48.23748270670573,68.07581583658855,53.24618021647135
3,3.0,0.037511189778645836,0.133514404296875,0.055948893229166664,0.08138020833333333,46.60606384277344,52.66888936360677,43.84549458821615,39.151509602864586,37.4749501546224,0.1544952392578125,0.054041544596354164,0.08392333984375,0.3617604573567708,45.48772176106771,33.411661783854164,33.02574157714844
4,4.0,0.15004475911458334,0.09791056315104167,0.026067097981770832,0.0820159912109375,41.89872741699219,31.77197774251302,37.563323974609375,48.02894592285156,44.2352294921875,0.2676645914713542,0.047047932942708336,0.029246012369791668,0.10363260904947917,30.080795288085938,24.629592895507812,34.46006774902344
5,5.0,0.18628438313802084,0.07375081380208333,0.006993611653645833,0.15958150227864584,28.868357340494793,31.82538350423177,42.1606699625651,42.21916198730469,23.848215738932293,0.055948893229166664,0.050862630208333336,0.048955281575520836,0.09028116861979167,21.1334228515625,29.60522969563802,42.819976806640625
6,6.0,0.048319498697916664,0.0006357828776041666,0.0705718994140625,0.06421407063802083,27.808507283528645,40.50254821777344,45.613606770833336,25.54003397623698,20.464579264322918,0.16911824544270834,0.029881795247395832,0.18628438313802084,0.13796488444010416,25.957107543945312,40.692647298177086,31.250635782877605
7,7.0,0.024159749348958332,0.087738037109375,0.06930033365885417,0.038782755533854164,33.21266174316406,46.9366709391276,31.744003295898438,28.32794189453125,28.546651204427082,0.043233235677083336,0.194549560546875,0.06103515625,0.12334187825520833,34.9585215250651,36.06224060058594,22.944132486979168
8,8.0,0.12842814127604166,0.1735687255859375,0.2155303955078125,0.012715657552083334,40.53306579589844,33.289591471354164,30.796051025390625,38.66704305013021,41.58782958984375,0.1678466796875,0.012715657552083334,0.0896453857421875,0.008900960286458334,36.510467529296875,21.287282307942707,27.353922526041668
9,9.0,0.029246012369791668,0.015894571940104168,0.19073486328125,0.048319498697916664,34.88922119140625,28.936386108398438,36.20719909667969,46.57427469889323,33.28069051106771,0.0286102294921875,0.08265177408854167,0.07883707682291667,0.13033548990885416,22.03687032063802,24.993896484375,37.20219930013021
10,10.0,0.141143798828125,0.0133514404296875,0.10045369466145833,0.014623006184895834,26.857376098632812,35.06342569986979,46.20806376139323,30.138015747070312,17.342249552408855,0.1468658447265625,0.1010894775390625,0.06993611653645833,0.19900004069010416,23.040771484375,34.809112548828125,39.50373331705729
11,11.0,0.08074442545572917,0.0858306884765625,0.046412150065104164,0.0820159912109375,30.338287353515625,44.62242126464844,38.500467936197914,25.76891581217448,23.555755615234375,0.15513102213541666,0.19391377766927084,0.255584716796875,0.11571248372395833,30.442555745442707,41.47148132324219,23.13232421875
12,12.0,0.050862630208333336,0.1049041748046875,0.3064473470052083,0.019709269205729168,36.87349955240885,41.38056437174479,29.017130533854168,34.10530090332031,35.68331400553385,0.10617574055989583,0.10236104329427083,0.18628438313802084,0.012079874674479166,39.082845052083336,26.403427124023438,23.784637451171875
13,13.0,0.0006357828776041666,0.12652079264322916,0.025431315104166668,0.020345052083333332,39.44524129231771,29.297510782877605,32.75616963704427,45.031229654947914,41.76966349283854,0.019709269205729168,0.20853678385416666,0.23905436197916666,0.0782012939453125,28.677622477213543,23.406346638997395,31.94427490234375
14,14.0,0.3490447998046875,0.006357828776041667,0.13860066731770834,0.060399373372395836,26.912689208984375,30.780792236328125,41.96993509928385,40.233612060546875,22.412618001302082,0.0438690185546875,0.025431315104166668,0.052769978841145836,0.16530354817708334,20.373026529947918,29.053370157877605,42.124430338541664
15,15.0,0.2117156982421875,0.1049041748046875,0.1239776611328125,0.141143798828125,27.470906575520832,39.13052876790365,44.93077596028646,23.706436157226562,19.453684488932293,0.050226847330729164,0.033060709635416664,0.004450480143229167,0.031153361002604168,25.931040445963543,39.79619344075521,30.120213826497395
16,16.0,0.07947285970052083,0.07120768229166667,0.06612141927083333,0.09028116861979167,33.17960103352865,45.88508605957031,30.36181131998698,29.24664815266927,29.205322265625,0.17102559407552084,0.06739298502604167,0.0031789143880208335,0.08519490559895833,35.42264302571615,34.8059336344401,22.344589233398438
17,17.0,0.019073486328125,0.06612141927083333,0.09409586588541667,0.033696492513020836,40.6494140625,33.060709635416664,28.737386067708332,38.761138916015625,41.77029927571615,0.011444091796875,0.11380513509114583,0.029881795247395832,0.11189778645833333,35.858154296875,21.42016092936198,26.650746663411457
18,18.0,0.17293294270833334,0.08392333984375,0.11571248372395833,0.12079874674479167,32.1661631266276,28.334935506184895,35.47223409016927,45.7916259765625,32.52092997233073,0.408172607421875,0.23714701334635416,0.039418538411458336,0.22061665852864584,20.346323649088543,24.951934814453125,36.87413533528646
19,19.0,0.037511189778645836,0.014623006184895834,0.15767415364583334,0.156402587890625,26.536941528320312,35.29230753580729,45.66764831542969,28.0609130859375,16.39111836751302,0.008265177408854166,0.102996826171875,0.040690104166666664,0.047047932942708336,22.667566935221355,35.024007161458336,38.24615478515625
20,20.0,0.091552734375,0.0133514404296875,0.11507670084635417,0.10935465494791667,31.01030985514323,44.63768005371094,38.248697916666664,24.972279866536457,23.25439453125,0.2994537353515625,0.024159749348958332,0.1201629638671875,0.0934600830078125,31.416575113932293,41.259765625,22.870381673177082
21,21.0,0.021616617838541668,0.050862630208333336,0.14813741048177084,0.06548563639322917,37.90601094563802,41.00735982259115,29.022216796875,32.8057607014974,35.21728515625,0.0476837158203125,0.2002716064453125,0.09091695149739583,0.08265177408854167,39.562225341796875,25.80579121907552,24.513880411783855
22,22.0,0.027338663736979168,0.026067097981770832,0.1354217529296875,0.006993611653645833,39.09174601236979,28.57526143391927,32.89159138997396,44.86910502115885,41.15931193033854,0.6497701009114584,0.0209808349609375,0.19327799479166666,0.034968058268229164,26.93494160970052,22.97528584798177,32.34672546386719
23,23.0,0.054041544596354164,0.1850128173828125,0.308990478515625,0.2657572428385417,27.006785074869793,31.674702962239582,43.01261901855469,39.26849365234375,21.280924479166668,0.006357828776041667,0.09918212890625,0.09282430013020833,0.102996826171875,21.04504903157552,29.858907063802082,42.36030578613281
24,24.0,0.10045369466145833,0.0591278076171875,0.09473164876302083,0.06930033365885417,27.612050374348957,39.11463419596354,44.3108876546224,25.014241536458332,20.191192626953125,0.07692972819010417,0.21298726399739584,0.014623006184895834,0.012079874674479166,26.533126831054688,40.07848103841146,29.607772827148438
25,25.0,0.2193450927734375,0.014623006184895834,0.16276041666666666,0.20853678385416666,34.350077311197914,45.41905721028646,29.657999674479168,26.986440022786457,28.205235799153645,0.048955281575520836,0.11761983235677083,0.0095367431640625,0.148773193359375,36.59884134928385,34.182230631510414,22.11443583170573
