wavelength_nm,Hb,HbO2
919,0.8866,1.3585
920,0.8844,1.359
921,0.8817,1.3598
922,0.879,1.3606
923,0.876,1.3602
924,0.8726,1.3602
925,0.8691,1.3602
926,0.8655,1.3604
927,0.8613,1.3603
928,0.8571,1.3599
929,0.8528,1.36
930,0.848,1.3595
931,0.8432,1.3593
932,0.8382,1.359
933,0.8324,1.3584
934,0.8265,1.3577
935,0.8207,1.3569
936,0.8143,1.3557
937,0.808,1.3549
938,0.8016,1.3545
939,0.7945,1.3533
940,0.7874,1.352
941,0.7802,1.3511
942,0.7727,1.3502
943,0.7651,1.3487
944,0.7575,1.3468
945,0.7493,1.3453
946,0.741,1.3445
947,0.7327,1.3428
948,0.7241,1.341
949,0.7154,1.3394
950,0.7068,1.3374
951,0.6982,1.3354
952,0.6895,1.3332
953,0.681,1.3313
954,0.6715,1.3293
955,0.6616,1.3263
956,0.6517,1.324
957,0.642,1.3217
958,0.6324,1.3199
959,0.6229,1.3172
960,0.6133,1.3144
961,0.6037,1.3123
962,0.5941,1.3099
963,0.5843,1.307
964,0.5745,1.3042
965,0.5647,1.3017
966,0.555,1.2995
967,0.5453,1.2966
968,0.5357,1.2928
969,0.5261,1.29
970,0.5166,1.2868
