Time,S1_D1_Red,S2_D2_Red,S3_D3_Red,S4_D4_Red,S5_D5_Red,S6_D6_Red,S7_D7_Red,S8_D8_Red,S1_D1_Ir,S2_D2_Ir,S3_D3_Ir,S4_D4_Ir,S5_D5_Ir,S6_D6_Ir,S7_D7_Ir,S8_D8_Ir
0.0,0.0006357828776041666,0.0006357828776041666,0.0667572021484375,0.027974446614583332,0.016530354817708332,945.9209442138672,1091.3607279459636,848.0383555094401,564.8848215738932,0.0006357828776041666,0.0006357828776041666,0.09663899739583333,0.012715657552083334,0.0591278076171875,607.3258717854818,685.2830251057943
1.0,675.5784352620443,0.020345052083333332,0.024159749348958332,0.029881795247395832,0.0095367431640625,333.0554962158203,409.8072052001953,346.3509877522786,223.8744099934896,444.9609120686849,0.15767415364583334,0.0457763671875,0.11126200358072917,0.06739298502604167,218.57388814290366,278.14483642578125
2.0,270.2210744222005,0.10236104329427083,0.019073486328125,0.015894571940104168,0.08074442545572917,128.2374064127604,176.6503651936849,135.3022257486979,84.35440063476562,175.99932352701822,0.029246012369791668,0.3191630045572917,0.037511189778645836,0.054677327473958336,91.25073750813802,119.99257405598958
3.0,112.55200703938802,0.0324249267578125,0.00762939453125,0.186920166015625,0.2613067626953125,65.7056172688802,80.1684061686198,60.79864501953125,45.11133829752604,77.95397440592448,0.2593994140625,0.12842814127604166,0.08519490559895833,0.021616617838541668,52.87488301595052,51.058451334635414
4.0,60.23279825846354,0.3719329833984375,0.15703837076822916,0.017801920572916668,0.037511189778645836,41.7931874593099,43.86774698893229,43.89381408691406,40.363311767578125,50.58606465657552,0.14432271321614584,0.050226847330729164,0.10744730631510417,0.0629425048828125,27.963638305664062,33.48541259765625
5.0,49.26109313964844,0.037511189778645836,0.23714701334635416,0.0031789143880208335,0.2002716064453125,30.015309651692707,38.8634999593099,47.30224609375,42.05004374186198,40.13506571451823,0.11316935221354167,0.09981791178385417,0.10744730631510417,0.0012715657552083333,24.009068806966145,34.792582194010414
6.0,35.746256510416664,0.019073486328125,0.2848307291666667,0.2619425455729167,0.2873738606770833,30.263264973958332,42.994181315104164,39.93797302246094,23.878733317057293,23.873011271158855,0.023523966471354168,0.23206075032552084,0.0095367431640625,0.2155303955078125,28.585433959960938,41.0620371500651
7.0,26.38562520345052,0.15958150227864584,0.17547607421875,0.09663899739583333,0.08455912272135417,35.19757588704427,44.12523905436198,27.348836263020832,21.924972534179688,22.688547770182293,0.11444091796875,0.125885009765625,0.14813741048177084,0.07502237955729167,35.64262390136719,30.607859293619793
8.0,28.32476298014323,0.22824605305989584,0.015894571940104168,0.052769978841145836,0.0762939453125,38.6358896891276,31.569163004557293,30.025482177734375,28.733571370442707,28.29297383626302,0.1735687255859375,0.3884633382161458,0.13669331868489584,0.13415018717447916,30.557632446289062,23.969014485677082
9.0,37.81318664550781,0.25177001953125,0.0553131103515625,0.20472208658854166,0.06739298502604167,29.092788696289062,30.5023193359375,35.69857279459635,37.876129150390625,37.6898447672526,0.3197987874348958,0.031789143880208336,0.07502237955729167,0.11444091796875,21.05394999186198,27.353922526041668
10.0,38.38666280110677,0.18564860026041666,0.10744730631510417,0.2772013346354167,0.048955281575520836,25.847752888997395,36.39666239420573,43.306986490885414,31.721115112304688,27.926127115885418,0.034332275390625,0.08138020833333333,0.07565816243489583,0.2511342366536458,23.115158081054688,36.273956298828125
11.0,26.944478352864582,0.16085306803385416,0.046412150065104164,0.021616617838541668,0.1964569091796875,31.087239583333332,44.92886861165365,31.335830688476562,19.982020060221355,21.00817362467448,0.12143452962239583,0.0006357828776041666,0.0209808349609375,0.031153361002604168,30.92511494954427,37.71845499674479
12.0,24.811426798502605,0.3604888916015625,0.012079874674479166,0.072479248046875,0.19709269205729166,35.33109029134115,37.20728556315104,26.782989501953125,24.247487386067707,23.639678955078125,0.16021728515625,0.031789143880208336,0.12524922688802084,0.15385945638020834,34.815470377604164,24.552027384440105
13.0,30.549367268880207,0.030517578125,0.16085306803385416,0.049591064453125,0.1506805419921875,35.36033630371094,29.740015665690105,32.56670633951823,33.055623372395836,32.213846842447914,0.19963582356770834,0.00762939453125,0.029246012369791668,0.1010894775390625,24.038950602213543,25.162378946940105
