Time,S1_D1_Red,S2_D2_Red,S3_D3_Red,S4_D4_Red,S5_D5_Red,S6_D6_Red,S7_D7_Red,S8_D8_Red,S1_D1_Ir,S2_D2_Ir,S3_D3_Ir,S4_D4_Ir,S5_D5_Ir,S6_D6_Ir,S7_D7_Ir,S8_D8_Ir
0.0,2708.3333333333335,2541.666030883789,2375.6510416666665,4749.836603800456,3170.578638712565,3798.346837361654,724.4377136230469,2591.791788736979,1083.3333333333333,2541.666030883789,1708.8216145833333,2333.3326975504556,4831.057866414388,4639.81564839681,4625.3312428792315,3618.3293660481772
1.0,499.83660380045575,41.666666666666664,666.0149892171224,1124.9993642171223,105.14068603515625,4691.240310668945,3803.8768768310547,1334.3079884847004,1208.3333333333333,666.6666666666666,42.317708333333336,3333.3326975504556,1139.9752298990886,3628.7415822347007,2101.2388865152993,4125.489552815755
2.0,2833.49609375,1458.49609375,3750.6510416666665,2083.3326975504556,2057.2903951009116,838.5403951009115,1163.735071818034,4239.095687866211,708.3333333333334,4583.49609375,3124.673843383789,3458.3326975504556,1409.6666971842449,2281.7370096842446,599.9355316162109,1387.044906616211
3.0,2833.3326975504556,2458.3333333333335,2415.8522288004556,5250.48828125,2585.2858225504556,4203.450520833333,2571.2877909342446,3800.2936045328775,1333.49609375,1625.1627604166667,3666.0149892171225,5166.829427083333,3096.841812133789,1942.5455729166667,3708.0065409342446,4453.776041666667
4.0,3458.169937133789,1499.9993642171223,2875.8138020833335,5166.666666666667,2358.88671875,4549.315770467122,2586.751937866211,4200.1953125,3833.3326975504556,2541.6666666666665,3791.0149892171225,4083.6588541666665,4310.221354166667,4638.996760050456,5243.489583333333,3313.3138020833335
5.0,4541.666666666667,3000.1627604166665,1667.6432291666667,749.9993642171224,4985.83984375,3710.9368642171225,2536.9466145833335,894.2057291666666,3666.666030883789,5166.829427083333,1165.8522288004558,4666.829427083333,5272.786458333333,4780.436197916667,3973.794937133789,4945.311864217122
6.0,5125.162760416667,458.33269755045575,2834.1471354166665,4499.999364217122,4283.203125,3535.9700520833335,1734.86328125,3387.2063954671225,1000.0,1458.3333333333333,2417.3177083333335,375.0,2639.4850413004556,2150.87890625,3773.7623850504556,3890.787124633789
7.0,916.5032704671224,750.1627604166666,667.6432291666666,2750.0,2343.423843383789,4736.328125,5152.994791666667,3957.6822916666665,3041.666030883789,4416.666030883789,4082.681655883789,3291.6666666666665,1224.6087392171223,5105.956395467122,1893.3912913004558,2032.5520833333333
8.0,3499.9993642171225,2416.666030883789,749.3483225504557,3833.3333333333335,443.1966145833333,2934.4069163004556,3163.7369791666665,203.125,874.8366038004557,3583.0071767171225,417.48046875,791.8294270833334,1270.1822916666667,3771.1588541666665,5094.400405883789,3483.3984375
9.0,4708.333333333333,1791.666030883789,292.48046875,4166.503270467122,3562.9876454671225,619.9544270833334,2411.7838541666665,601.0735829671224,2958.169937133789,3250.0,4832.681655883789,2166.6666666666665,3857.2584788004556,4488.118489583333,3402.83203125,5138.834635416667
10.0,2249.9993642171225,1416.666030883789,2124.185562133789,4583.49609375,489.5833333333333,2046.3860829671223,1095.5397288004558,1892.578125,3708.3333333333335,2833.49609375,3041.0149892171225,5208.332697550456,3527.0182291666665,2695.3125,2229.00390625,3023.4368642171225
11.0,708.3333333333334,2291.666030883789,4209.147135416667,500.1627604166667,5299.966812133789,3010.0905100504556,1104.8177083333333,1002.9290517171224,1375.0,583.3333333333334,3624.5110829671225,4708.332697550456,1097.330093383789,311.19728088378906,3690.2662913004556,1926.431655883789
12.0,4125.162760416667,4958.49609375,2666.0149892171225,958.49609375,4719.725926717122,3350.748062133789,4590.982437133789,4663.899739583333,4666.829427083333,4416.666030883789,5042.317708333333,3666.666030883789,4602.375666300456,3564.9407704671225,3304.361343383789,762.0436350504557
13.0,2125.1627604166665,3041.666030883789,374.18556213378906,3375.1627604166665,4814.94140625,698.0794270833334,2705.2408854166665,1322.265625,1374.9993642171223,1041.6666666666667,1291.177749633789,3208.3333333333335,1482.9095204671223,1526.0416666666667,4553.547541300456,5063.638687133789
14.0,1750.1627604166667,3083.3333333333335,3667.48046875,4166.503270467122,3733.7239583333335,1370.60546875,2632.6491038004556,2440.2662913004556,4041.6666666666665,1458.3326975504558,957.8444163004557,4041.6666666666665,2061.197280883789,279.6223958333333,3107.7473958333335,4763.346354166667
15.0,3749.9993642171225,3249.9993642171225,1667.48046875,4875.0,1092.2845204671223,3659.5052083333335,4524.251302083333,5177.896499633789,3666.6666666666665,291.8294270833333,3374.673843383789,2666.6666666666665,735.5143229166666,2267.0892079671225,4108.397801717122,4598.306655883789
16.0,3125.0,5083.49609375,1832.681655883789,166.66603088378906,948.0794270833334,681.3144683837891,2194.6614583333335,165.52734375,1999.9993642171223,541.6666666666666,5125.651041666667,3458.3333333333335,2149.90234375,2148.599624633789,3482.0963541666665,4051.2688954671225
17.0,1416.6666666666667,4416.666666666667,4332.681655883789,3500.3255208333335,1775.7161458333333,4268.391291300456,2711.7506663004556,2339.029312133789,2625.3255208333335,4875.0,167.31770833333334,2083.3326975504556,4231.607437133789,1063.4765625,553.0592600504557,4642.089207967122
18.0,2625.1627604166665,291.6666666666667,3042.3177083333335,2791.6666666666665,2019.8561350504558,2129.7194163004556,3380.6959788004556,1935.220718383789,2291.666030883789,5291.503270467122,4792.317708333333,4166.829427083333,2981.4446767171225,4737.955729166667,4986.002604166667,1221.6796875
19.0,750.1627604166666,3708.3333333333335,3459.1471354166665,3791.6666666666665,4697.591145833333,214.19207255045572,2445.3125,601.5625,3916.8294270833335,4374.836603800456,1375.6510416666667,3625.0,3443.5221354166665,4819.498697916667,3978.1901041666665,313.9642079671224
20.0,3125.0,1916.5032704671223,792.48046875,3666.6666666666665,3450.0325520833335,135.90431213378906,2479.6549479166665,1956.54296875,5249.999364217122,1374.9993642171223,4499.348322550456,2749.9993642171225,1735.5143229166667,2936.5228017171225,1185.05859375,2342.7728017171225
21.0,2083.3326975504556,2583.3333333333335,457.68165588378906,1041.5032704671223,1719.5631663004558,3357.0963541666665,4451.334635416667,3621.2565104166665,1708.49609375,208.33269755045572,4833.821614583333,333.3333333333333,2147.6236979166665,1981.2819163004558,1445.80078125,2945.6380208333335
22.0,3083.49609375,1333.3333333333333,3249.3483225504556,958.49609375,4935.871760050456,676.4316558837891,1919.7584788004558,695.9635416666666,3125.3255208333335,5166.666030883789,2792.48046875,41.666666666666664,3267.08984375,3276.5299479166665,3512.0436350504556,1602.3763020833333
23.0,4583.333333333333,4083.49609375,291.17774963378906,5249.999364217122,1140.298843383789,1337.564468383789,1799.966812133789,3316.080093383789,2416.6666666666665,4749.999364217122,1167.1549479166667,5208.169937133789,4772.4609375,3737.6302083333335,1940.5924479166667,1722.3307291666667
24.0,4083.3333333333335,3624.9993642171225,4791.014989217122,1333.3326975504558,408.3658854166667,3534.8307291666665,3892.4147288004556,4552.245457967122,3958.3326975504556,1708.49609375,2958.8216145833335,916.6660308837891,360.0260416666667,2433.755874633789,1475.4231770833333,359.86328125
25.0,3833.3333333333335,3416.6666666666665,4792.643229166667,1666.666030883789,3677.0826975504556,2651.3671875,3986.4908854166665,335.12306213378906,3333.3333333333335,3041.666030883789,2875.48828125,3166.5032704671225,4483.072916666667,1601.7252604166667,2600.9108225504556,3073.0794270833335
26.0,4125.0,4249.999364217122,2332.5188954671225,41.66603088378906,3349.1204579671225,1273.92578125,4871.744791666667,1743.3268229166667,41.9921875,3499.9993642171225,5166.014989217122,4416.9921875,3143.5546875,2730.46875,2261.5553538004556,2274.2513020833335
27.0,1999.9993642171223,1416.666030883789,1875.9765625,4166.829427083333,1854.6549479166667,1995.7682291666667,3005.8587392171225,3728.0267079671225,83.33269755045573,3791.666030883789,5167.643229166667,3083.0071767171225,1435.546875,4386.718114217122,3443.84765625,4361.653010050456
28.0,5041.666666666667,5041.666666666667,2540.5267079671225,2000.0,5093.098322550456,2256.3470204671225,4069.6614583333335,189.77801005045572,2208.3326975504556,1333.3333333333333,457.19337463378906,1499.9993642171223,3235.5143229166665,431.31446838378906,269.04296875,4562.662124633789
29.0,2458.3333333333335,208.33269755045572,251.46484375,958.49609375,3300.455093383789,363.76953125,3519.5306142171225,3248.6979166666665,0.0006357828776041666,5083.332697550456,875.48828125,1458.49609375,2889.6478017171225,3021.6471354166665,2897.4603017171225,1490.8854166666667
30.0,2333.3326975504556,4499.836603800456,4375.9765625,2791.666030883789,5113.606770833333,394.36785380045575,2256.021499633789,2714.6803538004556,166.82942708333334,1916.666030883789,917.6432291666666,3999.9993642171225,2394.693374633789,2767.9036458333335,446.4518229166667,2985.5143229166665
31.0,1708.6588541666667,2041.6666666666667,4457.193374633789,2875.1627604166665,4478.840510050456,4301.594416300456,337.23894755045575,3193.6848958333335,1458.49609375,1541.8294270833333,1875.48828125,2999.9993642171225,3317.2194163004556,4348.143895467122,1487.4674479166667,4559.407552083333
32.0,125.16276041666667,2666.666030883789,2167.1549479166665,583.3326975504557,848.6321767171224,1796.060562133789,1032.8776041666667,775.3899892171224,875.0,2583.3326975504556,4791.9921875,2583.49609375,2897.2981770833335,570.80078125,4856.119791666667,4638.509114583333
33.0,2250.0,250.0,3957.681655883789,4333.332697550456,1717.6100413004558,4450.68359375,3190.5924479166665,801.7571767171224,4708.332697550456,208.33333333333334,749.5110829671224,1541.8294270833333,1568.0338541666667,4607.421875,4024.7389475504556,4820.149739583333
34.0,2708.49609375,4958.169937133789,5207.681655883789,375.0,2612.79296875,3433.5931142171225,4178.547541300456,583.6594899495443,1458.3333333333333,1708.3326975504558,3500.6510416666665,4666.666666666667,2773.7630208333335,4524.087905883789,983.0729166666666,967.7728017171224
35.0,1166.666030883789,4124.999364217122,5207.356135050456,874.8366038004557,4316.89453125,1565.5924479166667,3745.4427083333335,4673.501968383789,2541.666030883789,5208.333333333333,1250.48828125,4791.503270467122,643.2291666666666,4856.282552083333,5320.963541666667,690.5924479166666
